	Basic Conversation	
GREETING_INFORMAL	Hello	Zdravei / Здравей
GREETING_MORNING	good morning	Dobar den  /Добър ден
GREETING_EVENING	good evening	Dobar vecher/ Добър вечер
GREETING_DEPARTURE	goodbye	Dovizhdane / Довиждане
SORRY	sorry / excuse me 	Izvinete / Извинете
PLEASE	please	Molia / Моля
THANKS	thank you / thanks	Blagodaria / Благодаря
REPLY_THANKS	you're welcome [response to thank you / thanks]	Molia / Моля
GIVE_OWN_NAME	my name is...	Az se kazvam / Аз се казвам
ASK_OTHERS_NAME	What is your name?	kak se kazvate? / как се казвате
GIVE_OWN_PROVENANCE	I’m from...	Az sum ot / Аз съм от
FAMILY	family	semeystvo / семейство
PRESENT_HUSBAND	this is my husband	Tova e mazhat mi / Това е мажът ми
WIFE	my wife	Tova e zhena mi / Това е жена ми
CHILDREN	my children	... decata mi
DAUGHTER	my daughter	dashteria mi / дъщеря ми
SON	my son	sina mi / сина ми
BABY	my baby	moeto bebe / моето бебе
BROTHER	this is my brother	Tova e brat mi / това е брат ми
SISTER	this is my sister	Tova e sestra mi / това е сестра ми
FATHER	this is my father	tova e bashta mi / това е баща ми
MOTHER	this is my mother 	tova e maika mi / това е майка ми
SUFFER_HUNGER	I’m hungry.	gladen sam / гладен съм
CHILD_HUNGRY	(My child) is hungry	moeto dete e gladno / моето дете е гладно
SUFFER_THIRST	I’m thirsty	Zhaden sam / жаден съм
WATER	water	voda / вода
AVAILABLE_Q	Do you have...	imate li? / имате ли...
LOCATION_Q	Where is..?	kade e? / къде е?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	kade e toaletnata / къде е тоалетната
NEED_SHOWER	I need to take a shower	Triabva da se izkupya / трябва да се изкъпя
SHOWER_LOCATION_Q	Where can I take a shower?	Kude moga da se izkupya? / Къде мога да се изкъпя?
SANITARYPAD	sanitary pad / towel	damski prevrazki / дамски превръзки
DIAPER	diaper / nappy	pelena / пелена
NEED_MAKE_PHONECALL	I need to make a phone call	Tryabva da se obadya / Трябва да се обадя
PRAY_LOCATION_Q	Where can I pray?	Kude moga da se pomolya? / Къде мога да се помоля?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	Kude moga da kupia...? / Къде мога да купя...?
LOCATION_X_Q	Where can I find____?	Kude moga da nameria...? / Къде мога да намеря...?
TIME_CLOCK_Q	What time is it?	Kolko e chasut? / Колко е часът?
NEED_SLEEP	I (we) need to sleep	Tryabva da spya / Трябва да спя
SUBWAY_LOCATION_Q	Where is the subway/underground?	kade e metroto / къде е метрото
NO_MONEY	I don’t have any money.	niamam pari / нямам пари
SPEAK_X_Q	Do you speak...	Govorite li... / говорите ли...
SPEAK_LITTLE_X	I don't speak (English) very well.	Ne govoria вalgarski / не говоря български
WRITE_DOWN_X_REQUEST	Can you write that down for me?	Mozhete li da napishete tova? /можете ли да напишете това
NO_UNDERSTAND	I don’t understand	Ne razbiram / не разбирам
