	Basic Conversation		
GREETING_INFORMAL	Hello	হ্যালো / সালাম	hello/salam
GREETING_MORNING	good morning	শুভ সকাল / সুপ্রভাত  | স্লামালিকুম	shubho din / suprobhat | slāmālikum
GREETING_EVENING	good evening	শুভ সন্ধ্যা	shubho sandhyā
GREETING_DEPARTURE	goodbye	আবার দেখা হবে	abar dekha hobe
SORRY	sorry / excuse me 	মাফ করবেন ...	maf korben.. 
PLEASE	please	প্লিজ / দয়া করে	please/ doya kore
THANKS	thank you / thanks	ধন্যবাদ	dhonnobad
REPLY_THANKS	you're welcome [response to thank you / thanks]		
GIVE_OWN_NAME	my name is...	আমার নাম ...	amar nam ...
ASK_OTHERS_NAME	What is your name?	আপনার নাম কী?	apnar nam ki?
GIVE_OWN_PROVENANCE	I’m from...	আমি ..... থেকে আসছি	ami .... theke ashchhi
FAMILY	family	পরিবার	poribar
PRESENT_HUSBAND	this is my husband	উনি ... আমার স্বামী	uni ... amar shami
WIFE	my wife	আমার স্ত্রী 	amar stri 
CHILDREN	my children	আমার বাচ্চারা  	amar bachchara
DAUGHTER	my daughter	আমার মেয়ে	amar meye
SON	my son	আমার ছেলে	amar chhele
BABY	my baby	আমার বাচ্চা	amar bachcha
BROTHER	this is my brother	এটা ... আমার ভাই	eta ... amar bhai
SISTER	this is my sister	এটা ... আমার বোন	eta ... amar bon
FATHER	this is my father	এটা ... আমার বাবা	eta ... amar baba
MOTHER	this is my mother 	এটা ... আমার মা	eta ... amar maa
SUFFER_HUNGER	I’m hungry.	আমার খিদে লেগেছে / আমি ক্ষুধার্ত / আমি কিছু খেতে চাই	amar khide legechhe / ami khudharto / ami kichhu khete chai
CHILD_HUNGRY	(My child) is hungry	আমার বাচ্চাটার খিদে পেয়েছে	amar bachchatar khide legechhe
SUFFER_THIRST	I’m thirsty	আমার পিপাসা লেগেছে / আমি পানি খাব	amar pipasha legechhe / ami pani khabo
WATER	water	পানি	pani
AVAILABLE_Q	Do you have...	আপনার কাছে কি ... আছে?	apnar kachhe ki .... achhe?
LOCATION_Q	Where is..?	 ..... কোথায়?	... kothay?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	বাথরুম কোনদিকে? / বাথরুমটা  কোথায়? 	bathroom ta kothay?
NEED_SHOWER	I need to take a shower	আমাকে গোসল করতে হবে	amake goshol korte hobe
SHOWER_LOCATION_Q	Where can I take a shower?	কোথায় গোসল করতে পারি?	ami kothay goshol korte pari? 
SANITARYPAD	sanitary pad / towel	স্যানিটারি প্যাড  	sanitary pad
DIAPER	diaper / nappy	ডাইপার	daipar
NEED_MAKE_PHONECALL	I need to make a phone call	আমাকে একটা ফোন করতে হবে	amake ekta fon korte hobe
PRAY_LOCATION_Q	Where can I pray?	আমি কোথায় নামাজ পড়তে পারি? / আমি কোথায় প্রার্থনা করতে পারি?	ami kothay namaj porte pari?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	...কোথায় কিনতে পাওয়া যায়?	.... kothay kinte pawa jay 
LOCATION_X_Q	Where can I find____?	 ....কোথায় পাব?	... kothay pabo?
TIME_CLOCK_Q	What time is it?	ক'টা বাজে?	kota baje
NEED_SLEEP	I (we) need to sleep	আমাকে ঘুমাতে হবে	amake ghumate hobe
SUBWAY_LOCATION_Q	Where is the subway/underground?	উ-বা'ন কোনদিকে?	U-Bahn kondike?
NO_MONEY	I don’t have any money.	আমার কাছে কোনো টাকা নেই	amar kachhe kono taka nei
SPEAK_X_Q	Do you speak...	আপনি কি .... বলতে পারেন?	apni ki .... bolte paren?
SPEAK_LITTLE_X	I don't speak (English) very well.	আমি খুব একটা ভালো (জার্মান) বলতে পারিনা  	ami khub ekta bhalo (German) bolte parina
WRITE_DOWN_X_REQUEST	Can you write that down for me?	আপনি কি আমাকে একটু লিখে দিতে পারবেন?	apni ki amake ektu likhe dite parben?
NO_UNDERSTAND	I don’t understand	আমি বুঝতে পারছি না	ami bujhte parchhi na
HELP_REQUEST	Help! / Please help me!	বাঁচাও! দয়া করে আমাকে একটু সাহায্য করুন  	ba(n)chao! amake doya kore ektu shahajjo korun
IGNORANCE	I don’t know	আমি জানি না	ami jani na
EVENT_Q	What happened?	কী হয়েছে  	ki hoyechhe
SUFFER_FREEZING	I am cold/ freezing	আমার শীত লাগছে/করছে 	amar sheet lagchhe
EXPERIENCE_HAPPINESS	I’m happy.	আমার খুশী লাগছে / আমি খুশী 	amar khushi lagchhe / ami khushi
SUFFER_FEAR	I’m scared.	আমার ভয় করছে	amar bhoy korchhe
SUFFER_SADNESS	I’m sad.	আমার মন খারাপ	amar mon kharap
EXPERIENCE_LIKING_ADDRESSEE	I like you.	আমার তোমাকে পছন্দ	amar tomake pochhondo
DONT_WORRY	Don’t worry	চিন্তার কিছু নেই	chintar kichhu nei 
NEED_APPOINTMENT	I would like an appointment.	আমার এপয়েন্টমেন্ট লাগবে	amar appointment lagbe
ROOM_NUMBER_N_LOCATION_Q	Where is room number ____?	রুম নাম্বার ... টা কোনদিকে?	room number ... ta kondike?
REGISTRATION_CENTRE_LOCATION_Q	Where is the registration centre?	রেজিস্ট্রেশন সেন্টারটা কোথায়? 	Registration center ta kothay?
