	Basic Conversation	Conversație de bază
GREETING_INFORMAL	Hello	Salut!
GREETING_MORNING	good morning	Bună ziua
GREETING_EVENING	good evening	Bună seara
GREETING_DEPARTURE	goodbye	La revedere
SORRY	sorry / excuse me 	Pardon
PLEASE	please	Vă rog
THANKS	thank you / thanks	Mulțumesc
REPLY_THANKS	you're welcome [response to thank you / thanks]	
GIVE_OWN_NAME	my name is...	Numele meu este...
ASK_OTHERS_NAME	What is your name?	Cum vă cheamă?
GIVE_OWN_PROVENANCE	I’m from...	Vin din...
FAMILY	family	Familie
PRESENT_HUSBAND	this is my husband	Este soțul meu
WIFE	my wife	Este soția mea
CHILDREN	my children	Sunt copiii mei
DAUGHTER	my daughter	Este fata mea
SON	my son	Este băiatul meu
BABY	my baby	Este bebelușul meu
BROTHER	this is my brother	Este fratele meu.
SISTER	this is my sister	Este sora mea.
FATHER	this is my father	Este tata
MOTHER	this is my mother 	Este mama
SUFFER_HUNGER	I’m hungry.	Îmi este foame
CHILD_HUNGRY	(My child) is hungry	Copilul meu este flămând.
SUFFER_THIRST	I’m thirsty	Îmi este sete.
WATER	water	apă
AVAILABLE_Q	Do you have...	Aveți...?
LOCATION_Q	Where is..?	Unde este?
TOILET_LOCATION_Q	Where is the toilet? / Where is the bathroom?	Unde este toaleta/baia?
NEED_SHOWER	I need to take a shower	Aș vrea să fac un duș
SHOWER_LOCATION_Q	Where can I take a shower?	Unde pot să fac un duș?
SANITARYPAD	sanitary pad / towel	tampon
DIAPER	diaper / nappy	Pampers/scutec
NEED_MAKE_PHONECALL	I need to make a phone call	Trebuie să telefonez
PRAY_LOCATION_Q	Where can I pray?	Unde pot să mă rog?
PURCHASE_X_LOCATION_Q	Where can I buy_____?	De unde pot cumpăra?
LOCATION_X_Q	Where can I find____?	Unde pot găsi...
TIME_CLOCK_Q	What time is it?	Cât e ceasul?
NEED_SLEEP	I (we) need to sleep	Aș vrea să dorm
SUBWAY_LOCATION_Q	Where is the subway/underground?	Unde este metroul?
