	Basic Conversation	بنیادی بات چیت	Bunyaadi baat cheet
GREETING_INFORMAL	Hello	سلام	Salaam
GREETING_MORNING	good morning	صبح بخیر	Subh behkeir
GREETING_EVENING	good evening	شب بخیر	shab bekheir
GREETING_DEPARTURE	goodbye	خدا حافظ	Khuda hafez
SORRY	sorry / excuse me 	معاف کیجیے	Maaf keejiye
PLEASE	please	مہربانی	Mehrbaani
THANKS	thank you / thanks	شکریہ	Shukriya
REPLY_THANKS	you're welcome [response to thank you / thanks]	آپ کو خوش آمديد      /    آپ کا شکریہ	Ap ko khush amdeed  /  Ap ka Shukriya
GIVE_OWN_NAME	my name is...	میرا نام...ہے	Mera naam ... hai
ASK_OTHERS_NAME	What is your name?	آپ کا نام کیا ہے؟	Aap ka naam kya hai?
GIVE_OWN_PROVENANCE	I’m from...	میں ۔۔۔۔۔۔۔۔ سے آئی ہوں  / میں ۔۔۔۔۔۔۔۔ سے آیا ہوں	Mein ____ se aayee hoon.(female saying it)  /  Mein ___ se aaya hoon. (male saying it)
FAMILY	family	خاندان	Khaandaan
PRESENT_HUSBAND	this is my husband	یہ میرا شوہر ہے	Yeh mera shohar hai
WIFE	my wife	 میری بیوی 	meri biwi 
CHILDREN	my children	 میرے بچّے 	mere bachchey
DAUGHTER	my daughter	 میری بیٹی	meri beti 
SON	my son	 میرا بیٹا 	mera beta
BABY	my baby	 میرا  بچہ	mera baccha
BROTHER	this is my brother	یہ میرا بھائی ہے	Yeh mera bhai hai
SISTER	this is my sister	یہ میری بہن ہے	Yeh meri behen hai
FATHER	this is my father	یہ میرے باپ/ والد/ ابو ہیں	Yeh meray baap/waalid/abbo hein
MOTHER	this is my mother 	یہ میری والدہ/ امّی ہیں۔	Yeh meri waalida/ammi hein
SUFFER_HUNGER	I’m hungry.	مجھے بھوک لگی ہے	Mujhey bhook lagi hai
CHILD_HUNGRY	(My child) is hungry	میری بچّی بھوکی ہے۔ میرا بچّا بھوکا ہے۔	Meri bachchi bhooki haiMera bachcha bhooka hai
SUFFER_THIRST	I’m thirsty	مجھے پیاس لگی ہے۔	Mujhey pyaas lagi hai
WATER	water	پانی	Paani
AVAILABLE_Q	Do you have...	کیا آپ کے پاس ۔۔۔۔ ہے؟	Kya aap ke paas .... hai?
LOCATION_Q	Where is..?	۔۔۔۔ کہاں ہے؟	"xxx kahan hai?"
